epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1007,1.86259,4.77809,1.26862,0,0,0,0,1.58156,4.57938,1.0868,4e-05,4e-05,4e-05
2,56.3007,1.51433,4.50731,1.06088,0,0,0,0,1.87638,4.4696,1.0645,8.5545e-05,8.5545e-05,8.5545e-05
3,83.5627,1.47576,3.92912,1.01842,0,0,0,0,1.6454,4.36227,1.00052,0.00012614,0.00012614,0.00012614
4,111.136,1.44526,2.95524,0.98345,0,0,0,0,1.50119,4.28847,0.98659,0.000161785,0.000161785,0.000161785
5,138.76,1.27552,2.27653,0.9306,0,0,0,0,1.3883,4.12578,0.95736,0.00019248,0.00019248,0.00019248
6,166.387,1.16753,1.99419,0.90691,0,0,0,0,1.34286,4.049,0.94742,0.000218225,0.000218225,0.000218225
7,193.739,1.13361,1.83881,0.88714,0,0,0,0,1.29022,3.97061,0.93356,0.00023902,0.00023902,0.00023902
8,220.336,1.128,1.89864,0.88882,0,0,0,0,1.29097,3.938,0.93562,0.000254865,0.000254865,0.000254865
9,246.741,1.13982,1.76473,0.90691,0,0,0,0,1.22661,3.86615,0.93404,0.00026576,0.00026576,0.00026576
10,273.312,1.07425,1.5701,0.88138,0,0,0,0,1.19718,3.85022,0.94317,0.000271705,0.000271705,0.000271705
11,299.707,1.01876,1.52991,0.90277,0,0,0,0,1.20134,3.84514,0.95001,0.0002727,0.0002727,0.0002727
12,326.498,1.05283,1.55029,0.8811,0,0,0,0,1.19674,3.61745,0.93811,0.000268745,0.000268745,0.000268745
13,353.158,0.99341,1.4333,0.87686,0,0,0,0,1.1997,3.50044,0.93536,0.00025984,0.00025984,0.00025984
14,380.91,0.999,1.36738,0.8688,0,0,0,0,1.17017,3.23945,0.92503,0.000245985,0.000245985,0.000245985
15,407.573,0.97821,1.24715,0.87644,0,0,0,0,1.19272,3.0436,0.93018,0.00022718,0.00022718,0.00022718
16,434.109,0.9581,1.25443,0.88032,0.33333,0.02778,0.18055,0.12979,1.18223,2.98212,0.924,0.000203425,0.000203425,0.000203425
17,461.084,0.93081,1.15618,0.8836,0.33333,0.04722,0.19028,0.13489,1.16554,2.8342,0.91435,0.00017472,0.00017472,0.00017472
18,488.098,0.94179,1.14111,0.89635,0.5,0.08167,0.29083,0.21746,1.16183,2.73152,0.90869,0.000141065,0.000141065,0.000141065
19,516.116,0.95538,1.15627,0.88404,0.5,0.12944,0.31472,0.24198,1.15455,2.61384,0.90337,0.00010246,0.00010246,0.00010246
20,542.879,0.99316,1.16474,0.87641,0.5,0.32389,0.41194,0.32114,1.13757,2.40895,0.8976,5.8905e-05,5.8905e-05,5.8905e-05
