epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.2192,1.08929,1.40748,0.89732,0.92071,0.5839,0.63516,0.45469,1.08044,1.70274,0.88729,0.00012,0.00012,0.00012
2,142.97,1.0492,1.23519,0.89246,0.95538,0.56756,0.69071,0.48991,1.01769,1.79499,0.88117,0.00024505,0.00024505,0.00024505
3,216.319,1.02769,1.10332,0.88988,0.9419,0.50999,0.81707,0.59842,0.94971,1.86302,0.86994,0.000364952,0.000364952,0.000364952
4,287.886,0.99503,0.9919,0.87117,0.99236,0.48469,0.91544,0.66363,0.95855,1.97855,0.87262,0.000479706,0.000479706,0.000479706
5,360.427,1.02194,0.9968,0.87239,0.97113,0.68275,0.94026,0.66647,0.9859,1.6323,0.88393,0.000589312,0.000589312,0.000589312
6,433.586,0.99923,0.9276,0.88449,0.92251,0.84081,0.95299,0.68858,0.92742,1.26377,0.88468,0.00069377,0.00069377,0.00069377
7,506.171,0.97951,0.88332,0.88101,0.91066,0.83957,0.95582,0.68153,0.95294,1.10048,0.88799,0.00079308,0.00079308,0.00079308
8,578.46,0.98701,0.87181,0.88319,0.94786,0.86905,0.9503,0.66719,0.95921,1.11947,0.88431,0.0008614,0.0008614,0.0008614
9,650.585,0.9502,0.86564,0.87859,0.9213,0.89372,0.95922,0.69536,0.9044,0.8288,0.87816,0.0008416,0.0008416,0.0008416
10,724.433,0.93929,0.80186,0.8847,0.92847,0.90386,0.95672,0.69932,0.90963,0.87222,0.87201,0.0008218,0.0008218,0.0008218
11,795.746,0.89216,0.76749,0.87219,0.97041,0.88898,0.95366,0.72625,0.84651,0.77869,0.86608,0.000802,0.000802,0.000802
12,869.182,0.90865,0.75577,0.873,0.91882,0.93421,0.97281,0.73661,0.87116,0.82697,0.86739,0.0007822,0.0007822,0.0007822
13,940.691,0.92254,0.74534,0.87358,0.95261,0.90732,0.96989,0.73822,0.86637,0.876,0.86618,0.0007624,0.0007624,0.0007624
14,1012.6,0.90173,0.72243,0.87312,0.96446,0.9378,0.97063,0.70598,0.92693,0.82748,0.87682,0.0007426,0.0007426,0.0007426
15,1083.47,0.88057,0.71915,0.86892,0.95789,0.94738,0.97261,0.73205,0.84988,0.769,0.86267,0.0007228,0.0007228,0.0007228
16,1155.05,0.90937,0.73157,0.86934,0.96559,0.93216,0.97534,0.75095,0.8319,0.70276,0.85823,0.000703,0.000703,0.000703
17,1226.11,0.86682,0.69388,0.85795,0.93772,0.96448,0.97412,0.74537,0.82008,0.6775,0.85771,0.0006832,0.0006832,0.0006832
18,1334.25,0.869,0.68648,0.85353,0.95439,0.91918,0.97112,0.7429,0.86449,0.68484,0.86243,0.0006634,0.0006634,0.0006634
19,1406.53,0.88216,0.68599,0.86699,0.96927,0.95482,0.97211,0.75485,0.81324,0.64839,0.85984,0.0006436,0.0006436,0.0006436
20,1477.99,0.85955,0.68183,0.87069,0.90656,0.95213,0.97114,0.74338,0.84051,0.62772,0.86075,0.0006238,0.0006238,0.0006238
21,1550.05,0.8454,0.64229,0.85569,0.91488,0.91929,0.97012,0.7466,0.83916,0.6295,0.85807,0.000604,0.000604,0.000604
22,1619.53,0.85621,0.64302,0.85831,0.95243,0.92979,0.96739,0.74216,0.82592,0.63548,0.85915,0.0005842,0.0005842,0.0005842
23,1691.1,0.84809,0.62654,0.85536,0.94394,0.92897,0.96956,0.75145,0.82959,0.62228,0.85479,0.0005644,0.0005644,0.0005644
24,1762.35,0.84828,0.63068,0.85287,0.95864,0.95965,0.97659,0.76286,0.80214,0.58038,0.85601,0.0005446,0.0005446,0.0005446
25,1833.28,0.83817,0.62455,0.86344,0.96984,0.94149,0.97543,0.75265,0.79955,0.59063,0.85394,0.0005248,0.0005248,0.0005248
26,1905.22,0.82578,0.60802,0.85022,0.98119,0.94598,0.97722,0.7569,0.80571,0.58175,0.85535,0.000505,0.000505,0.000505
27,1976.81,0.80207,0.59157,0.84279,0.97314,0.94971,0.97846,0.7532,0.83737,0.58532,0.8605,0.0004852,0.0004852,0.0004852
28,2048.6,0.83572,0.61101,0.84485,0.96487,0.95132,0.96024,0.73831,0.79966,0.59883,0.85487,0.0004654,0.0004654,0.0004654
29,2121.07,0.808,0.60353,0.848,0.96648,0.96337,0.97261,0.75887,0.80961,0.57876,0.85633,0.0004456,0.0004456,0.0004456
